cluster,model,observable,tracer,shape_y,shape_x,spatial_block_count,target_blocks_per_axis,observed_ratio,bootstrap_n,block_ratio_mean,block_ratio_sd,block_ratio_p05,block_ratio_p50,block_ratio_p95,log_ratio_se
abell2261,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.1447034018034574,300,1.1578003812777449,0.12061193960910378,0.9797459117099737,1.142135037762389,1.3661573991882838,0.10279436219048549
abell2261,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.1571082212230557,300,1.1571813254090477,0.1306604195061045,0.944178020532702,1.1612493553475822,1.3619605496573233,0.11360113275632623
macs1311,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.1652928533224316,300,1.184105161753852,0.13314384936233586,1.0069313058641591,1.17124649343245,1.4195378377494747,0.10972843330979698
macs1311,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.2795356526372947,300,1.2742455002684308,0.14880168090250812,1.0695760669238275,1.2605545016057587,1.5320047987581094,0.1171607368390196
macs1311,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.098816241402531,300,1.1032618367068308,0.10582379716120427,0.9333692979492398,1.0904300592162866,1.2757144215300402,0.09480072738619455
macs1311,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.095367567907802,300,1.0815577664645977,0.14560756412269518,0.8382987914971457,1.082670809050319,1.3289855049281816,0.13938726160432513
macs1311,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.1677510511569615,300,1.1829374972025657,0.12429065239623774,0.9999233735130444,1.1723675189756815,1.4130849610765017,0.10351534173767551
macs1311,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.3701477446271186,300,1.3600701440884306,0.16991563872378943,1.0865402110354716,1.3487989419723112,1.645078304937038,0.1265753172424095
macs1311,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.155826629155163,300,1.1643577527278903,0.12067578211792149,0.9774931415265715,1.1433777701749275,1.382787125056071,0.10199154212105513
macs1311,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.306347753453116,300,1.2987101079282384,0.14645179120731422,1.0663092008584143,1.3069175169752332,1.5412076557313688,0.11345298241017195
macs1931,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2649158293881526,300,1.2927439161929,0.1555557402658143,1.0798523235873396,1.2704607778917443,1.577809045795844,0.11858015078732959
macs1931,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.527016235020651,300,1.5527994485299075,0.15035464713128946,1.2988446821977266,1.541875214861475,1.812101858702616,0.09633020860065755
macs1931,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.256162621317274,300,1.2698082127661292,0.13098072152534423,1.0614188178992792,1.2597452867967738,1.4865984885715087,0.1028630366862141
macs1931,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.3153858340868698,300,1.3161919528977966,0.14231289826418544,1.0915840175367049,1.3139409401178501,1.5433883516157432,0.10951391662754249
