cluster,model,observable,tracer,shape_y,shape_x,spatial_block_count,target_blocks_per_axis,observed_ratio,bootstrap_n,block_ratio_mean,block_ratio_sd,block_ratio_p05,block_ratio_p50,block_ratio_p95,log_ratio_se
macs0717,williams_v4.1,kappa,chandra_xray_radius_exposure_residual_z,878,878,576,24,3.68910640404035,500,3.6722859717801457,0.64638526980712,2.679121530429111,3.66014330953265,4.781391248291881,0.1811376324839384
macs0717,williams_v4.1,magnif,chandra_xray_sigma1,878,878,576,24,0.7973760056132302,500,0.7964933996111244,0.14612781232321717,0.5591610802958576,0.7926680303180512,1.0266040344099692,0.18952010699631475
macs0717,williams_v4.1,magnif,chandra_xray_radius_exposure_residual_z,878,878,576,24,0.8728661889902655,500,0.880154147335036,0.19099013547063956,0.5785686376653203,0.8704526182955361,1.211289713011788,0.22223806654765127
macs1149,merten_v1,kappa,chandra_xray_sigma1,168,168,422,24,1.602256511253349,500,1.5986304918114418,0.18093505104619745,1.2969416046533824,1.6009489490326976,1.907574836012818,0.11500027079453477
macs1149,merten_v1,kappa,chandra_xray_radius_exposure_residual_z,168,168,422,24,1.7767637549088937,500,1.7842327932669706,0.242929812442407,1.3967803106133516,1.7772881659146185,2.2038033265553834,0.13900202448964796
macs1149,merten_v1,magnif,chandra_xray_sigma1,168,168,422,24,1.6195388664231778,500,1.6262174438333992,0.1844503333682193,1.3353650589691795,1.618996976464768,1.9400974133303086,0.1131205548305395
macs1149,merten_v1,magnif,chandra_xray_radius_exposure_residual_z,168,168,422,24,1.8043536443928987,500,1.7960877256180545,0.2208846306836226,1.4201915087630705,1.7918329310510615,2.1568098723801454,0.1255015334457143
macs1149,cats_v4.1,kappa,chandra_xray_sigma1,1000,1000,576,24,1.4021305435893738,500,1.421120517921472,0.15608698217735043,1.1723675583356463,1.417655837808794,1.6872549265895291,0.10958694824032006
macs1149,cats_v4.1,kappa,chandra_xray_radius_exposure_residual_z,1000,1000,576,24,1.7675855857231737,500,1.7672990844022378,0.17543118711145325,1.4866155846577882,1.7591202985392425,2.0553004598613436,0.10039135170669958
macs1149,cats_v4.1,magnif,chandra_xray_sigma1,1000,1000,576,24,1.4257502570369933,500,1.4502106356756952,0.15008565554229245,1.2185770421212208,1.4363521283459448,1.7089990061764009,0.10280549136253227
